,player_1_won,player_2_won,date,maxw,maxl,avgw,avgl
0,0,1,2000-01-03,,,,
1,0,1,2000-01-03,,,,
2,1,0,2000-01-03,,,,
3,1,0,2000-01-03,,,,
47,1,0,2000-01-10,,,,
46,1,0,2000-01-10,,,,
45,1,0,2000-01-10,,,,
44,0,1,2000-01-10,,,,
43,0,1,2000-01-10,,,,
42,0,1,2000-01-10,,,,
40,0,1,2000-01-10,,,,
48,1,0,2000-01-10,,,,
39,1,0,2000-01-10,,,,
38,1,0,2000-01-10,,,,
37,0,1,2000-01-10,,,,
36,0,1,2000-01-10,,,,
41,0,1,2000-01-10,,,,
49,1,0,2000-01-10,,,,
51,0,1,2000-01-10,,,,
35,1,0,2000-01-10,,,,
52,1,0,2000-01-10,,,,
53,1,0,2000-01-10,,,,
54,0,1,2000-01-10,,,,
55,0,1,2000-01-10,,,,
56,0,1,2000-01-10,,,,
57,1,0,2000-01-10,,,,
58,0,1,2000-01-10,,,,
59,0,1,2000-01-10,,,,
60,0,1,2000-01-10,,,,
61,1,0,2000-01-10,,,,
63,0,1,2000-01-10,,,,
64,1,0,2000-01-10,,,,
50,1,0,2000-01-10,,,,
34,0,1,2000-01-10,,,,
62,0,1,2000-01-10,,,,
32,0,1,2000-01-10,,,,
33,0,1,2000-01-10,,,,
5,0,1,2000-01-10,,,,
6,1,0,2000-01-10,,,,
7,1,0,2000-01-10,,,,
8,1,0,2000-01-10,,,,
9,0,1,2000-01-10,,,,
10,1,0,2000-01-10,,,,
11,1,0,2000-01-10,,,,
12,0,1,2000-01-10,,,,
13,0,1,2000-01-10,,,,
14,0,1,2000-01-10,,,,
15,1,0,2000-01-10,,,,
16,1,0,2000-01-10,,,,
17,0,1,2000-01-10,,,,
4,1,0,2000-01-10,,,,
19,0,1,2000-01-10,,,,
18,0,1,2000-01-10,,,,
30,0,1,2000-01-10,,,,
31,0,1,2000-01-10,,,,
29,0,1,2000-01-10,,,,
28,1,0,2000-01-10,,,,
26,0,1,2000-01-10,,,,
27,1,0,2000-01-10,,,,
24,1,0,2000-01-10,,,,
23,1,0,2000-01-10,,,,
22,0,1,2000-01-10,,,,
21,1,0,2000-01-10,,,,
20,1,0,2000-01-10,,,,
25,1,0,2000-01-10,,,,
147,1,0,2000-01-17,,,,
145,0,1,2000-01-17,,,,
146,1,0,2000-01-17,,,,
148,0,1,2000-01-17,,,,
154,1,0,2000-01-17,,,,
150,1,0,2000-01-17,,,,
151,0,1,2000-01-17,,,,
152,1,0,2000-01-17,,,,
153,1,0,2000-01-17,,,,
144,1,0,2000-01-17,,,,
155,0,1,2000-01-17,,,,
149,1,0,2000-01-17,,,,
143,0,1,2000-01-17,,,,
137,1,0,2000-01-17,,,,
141,0,1,2000-01-17,,,,
140,0,1,2000-01-17,,,,
139,1,0,2000-01-17,,,,
138,1,0,2000-01-17,,,,
136,1,0,2000-01-17,,,,
135,1,0,2000-01-17,,,,
134,0,1,2000-01-17,,,,
133,0,1,2000-01-17,,,,
132,0,1,2000-01-17,,,,
131,1,0,2000-01-17,,,,
130,0,1,2000-01-17,,,,
156,0,1,2000-01-17,,,,
129,1,0,2000-01-17,,,,
142,1,0,2000-01-17,,,,
157,1,0,2000-01-17,,,,
172,1,0,2000-01-17,,,,
159,0,1,2000-01-17,,,,
128,0,1,2000-01-17,,,,
188,0,1,2000-01-17,,,,
187,1,0,2000-01-17,,,,
186,0,1,2000-01-17,,,,
184,0,1,2000-01-17,,,,
183,1,0,2000-01-17,,,,
182,1,0,2000-01-17,,,,
181,0,1,2000-01-17,,,,
180,0,1,2000-01-17,,,,
179,1,0,2000-01-17,,,,
178,1,0,2000-01-17,,,,
177,1,0,2000-01-17,,,,
176,1,0,2000-01-17,,,,
158,0,1,2000-01-17,,,,
175,1,0,2000-01-17,,,,
173,1,0,2000-01-17,,,,
171,1,0,2000-01-17,,,,
170,1,0,2000-01-17,,,,
169,1,0,2000-01-17,,,,
168,1,0,2000-01-17,,,,
167,0,1,2000-01-17,,,,
166,1,0,2000-01-17,,,,
165,0,1,2000-01-17,,,,
164,1,0,2000-01-17,,,,
163,1,0,2000-01-17,,,,
162,1,0,2000-01-17,,,,
161,1,0,2000-01-17,,,,
160,0,1,2000-01-17,,,,
174,1,0,2000-01-17,,,,
127,1,0,2000-01-17,,,,
185,0,1,2000-01-17,,,,
125,0,1,2000-01-17,,,,
92,0,1,2000-01-17,,,,
91,1,0,2000-01-17,,,,
90,1,0,2000-01-17,,,,
89,1,0,2000-01-17,,,,
88,1,0,2000-01-17,,,,
87,0,1,2000-01-17,,,,
86,1,0,2000-01-17,,,,
85,0,1,2000-01-17,,,,
84,0,1,2000-01-17,,,,
83,1,0,2000-01-17,,,,
82,0,1,2000-01-17,,,,
81,0,1,2000-01-17,,,,
80,0,1,2000-01-17,,,,
93,1,0,2000-01-17,,,,
79,1,0,2000-01-17,,,,
77,0,1,2000-01-17,,,,
76,0,1,2000-01-17,,,,
75,1,0,2000-01-17,,,,
74,0,1,2000-01-17,,,,
73,0,1,2000-01-17,,,,
71,0,1,2000-01-17,,,,
70,1,0,2000-01-17,,,,
69,0,1,2000-01-17,,,,
68,1,0,2000-01-17,,,,
67,1,0,2000-01-17,,,,
66,1,0,2000-01-17,,,,
65,0,1,2000-01-17,,,,
126,1,0,2000-01-17,,,,
78,0,1,2000-01-17,,,,
94,1,0,2000-01-17,,,,
72,0,1,2000-01-17,,,,
96,0,1,2000-01-17,,,,
124,1,0,2000-01-17,,,,
95,0,1,2000-01-17,,,,
123,0,1,2000-01-17,,,,
122,0,1,2000-01-17,,,,
121,1,0,2000-01-17,,,,
119,0,1,2000-01-17,,,,
118,1,0,2000-01-17,,,,
117,0,1,2000-01-17,,,,
116,1,0,2000-01-17,,,,
115,1,0,2000-01-17,,,,
114,0,1,2000-01-17,,,,
113,0,1,2000-01-17,,,,
112,1,0,2000-01-17,,,,
111,1,0,2000-01-17,,,,
120,1,0,2000-01-17,,,,
109,1,0,2000-01-17,,,,
97,0,1,2000-01-17,,,,
110,1,0,2000-01-17,,,,
99,1,0,2000-01-17,,,,
100,1,0,2000-01-17,,,,
98,1,0,2000-01-17,,,,
102,1,0,2000-01-17,,,,
101,1,0,2000-01-17,,,,
104,1,0,2000-01-17,,,,
105,1,0,2000-01-17,,,,
106,1,0,2000-01-17,,,,
107,0,1,2000-01-17,,,,
108,0,1,2000-01-17,,,,
103,0,1,2000-01-17,,,,
255,0,1,2000-02-07,,,,
254,1,0,2000-02-07,,,,
256,0,1,2000-02-07,,,,
253,1,0,2000-02-07,,,,
252,0,1,2000-02-07,,,,
251,0,1,2000-02-07,,,,
250,1,0,2000-02-07,,,,
248,1,0,2000-02-07,,,,
247,1,0,2000-02-07,,,,
242,1,0,2000-02-07,,,,
245,1,0,2000-02-07,,,,
244,0,1,2000-02-07,,,,
243,1,0,2000-02-07,,,,
241,1,0,2000-02-07,,,,
240,1,0,2000-02-07,,,,
239,1,0,2000-02-07,,,,
238,0,1,2000-02-07,,,,
257,0,1,2000-02-07,,,,
237,0,1,2000-02-07,,,,
246,1,0,2000-02-07,,,,
258,0,1,2000-02-07,,,,
272,1,0,2000-02-07,,,,
260,1,0,2000-02-07,,,,
236,1,0,2000-02-07,,,,
280,1,0,2000-02-07,,,,
279,0,1,2000-02-07,,,,
278,1,0,2000-02-07,,,,
277,1,0,2000-02-07,,,,
276,1,0,2000-02-07,,,,
275,0,1,2000-02-07,,,,
274,1,0,2000-02-07,,,,
273,0,1,2000-02-07,,,,
259,1,0,2000-02-07,,,,
271,1,0,2000-02-07,,,,
269,1,0,2000-02-07,,,,
268,0,1,2000-02-07,,,,
267,1,0,2000-02-07,,,,
266,1,0,2000-02-07,,,,
265,1,0,2000-02-07,,,,
264,1,0,2000-02-07,,,,
263,0,1,2000-02-07,,,,
262,1,0,2000-02-07,,,,
261,1,0,2000-02-07,,,,
270,1,0,2000-02-07,,,,
235,1,0,2000-02-07,,,,
249,1,0,2000-02-07,,,,
233,0,1,2000-02-07,,,,
208,0,1,2000-02-07,,,,
207,0,1,2000-02-07,,,,
206,1,0,2000-02-07,,,,
205,1,0,2000-02-07,,,,
204,1,0,2000-02-07,,,,
203,1,0,2000-02-07,,,,
202,1,0,2000-02-07,,,,
201,0,1,2000-02-07,,,,
200,1,0,2000-02-07,,,,
209,0,1,2000-02-07,,,,
199,0,1,2000-02-07,,,,
197,1,0,2000-02-07,,,,
195,1,0,2000-02-07,,,,
194,1,0,2000-02-07,,,,
193,1,0,2000-02-07,,,,
192,0,1,2000-02-07,,,,
191,0,1,2000-02-07,,,,
190,1,0,2000-02-07,,,,
189,0,1,2000-02-07,,,,
234,0,1,2000-02-07,,,,
198,0,1,2000-02-07,,,,
210,1,0,2000-02-07,,,,
196,0,1,2000-02-07,,,,
212,1,0,2000-02-07,,,,
232,0,1,2000-02-07,,,,
211,1,0,2000-02-07,,,,
231,1,0,2000-02-07,,,,
230,0,1,2000-02-07,,,,
229,0,1,2000-02-07,,,,
227,0,1,2000-02-07,,,,
226,1,0,2000-02-07,,,,
225,1,0,2000-02-07,,,,
224,0,1,2000-02-07,,,,
223,0,1,2000-02-07,,,,
228,0,1,2000-02-07,,,,
221,0,1,2000-02-07,,,,
220,1,0,2000-02-07,,,,
219,0,1,2000-02-07,,,,
218,1,0,2000-02-07,,,,
217,0,1,2000-02-07,,,,
216,1,0,2000-02-07,,,,
215,0,1,2000-02-07,,,,
222,1,0,2000-02-07,,,,
214,0,1,2000-02-07,,,,
213,1,0,2000-02-07,,,,
324,1,0,2000-02-14,,,,
323,0,1,2000-02-14,,,,
322,1,0,2000-02-14,,,,
321,0,1,2000-02-14,,,,
320,0,1,2000-02-14,,,,
317,1,0,2000-02-14,,,,
318,0,1,2000-02-14,,,,
316,0,1,2000-02-14,,,,
315,0,1,2000-02-14,,,,
325,0,1,2000-02-14,,,,
314,0,1,2000-02-14,,,,
319,0,1,2000-02-14,,,,
326,0,1,2000-02-14,,,,
337,1,0,2000-02-14,,,,
328,0,1,2000-02-14,,,,
329,0,1,2000-02-14,,,,
330,0,1,2000-02-14,,,,
331,1,0,2000-02-14,,,,
332,1,0,2000-02-14,,,,
333,0,1,2000-02-14,,,,
334,0,1,2000-02-14,,,,
335,0,1,2000-02-14,,,,
336,1,0,2000-02-14,,,,
338,1,0,2000-02-14,,,,
339,0,1,2000-02-14,,,,
340,0,1,2000-02-14,,,,
341,0,1,2000-02-14,,,,
313,0,1,2000-02-14,,,,
327,0,1,2000-02-14,,,,
312,0,1,2000-02-14,,,,
303,0,1,2000-02-14,,,,
310,0,1,2000-02-14,,,,
311,0,1,2000-02-14,,,,
281,0,1,2000-02-14,,,,
282,1,0,2000-02-14,,,,
283,0,1,2000-02-14,,,,
284,1,0,2000-02-14,,,,
285,1,0,2000-02-14,,,,
286,0,1,2000-02-14,,,,
287,0,1,2000-02-14,,,,
289,1,0,2000-02-14,,,,
290,0,1,2000-02-14,,,,
291,1,0,2000-02-14,,,,
292,1,0,2000-02-14,,,,
293,1,0,2000-02-14,,,,
294,1,0,2000-02-14,,,,
288,1,0,2000-02-14,,,,
296,0,1,2000-02-14,,,,
295,0,1,2000-02-14,,,,
308,1,0,2000-02-14,,,,
307,0,1,2000-02-14,,,,
306,1,0,2000-02-14,,,,
305,0,1,2000-02-14,,,,
304,1,0,2000-02-14,,,,
309,0,1,2000-02-14,,,,
301,0,1,2000-02-14,,,,
300,0,1,2000-02-14,,,,
299,0,1,2000-02-14,,,,
298,0,1,2000-02-14,,,,
297,1,0,2000-02-14,,,,
302,0,1,2000-02-14,,,,
386,1,0,2000-02-21,,,,
385,1,0,2000-02-21,,,,
384,0,1,2000-02-21,,,,
383,0,1,2000-02-21,,,,
382,1,0,2000-02-21,,,,
381,0,1,2000-02-21,,,,
378,0,1,2000-02-21,,,,
379,1,0,2000-02-21,,,,
377,0,1,2000-02-21,,,,
376,0,1,2000-02-21,,,,
375,0,1,2000-02-21,,,,
387,0,1,2000-02-21,,,,
380,0,1,2000-02-21,,,,
388,1,0,2000-02-21,,,,
374,1,0,2000-02-21,,,,
390,1,0,2000-02-21,,,,
391,1,0,2000-02-21,,,,
392,1,0,2000-02-21,,,,
393,0,1,2000-02-21,,,,
394,0,1,2000-02-21,,,,
395,1,0,2000-02-21,,,,
396,0,1,2000-02-21,,,,
397,0,1,2000-02-21,,,,
398,0,1,2000-02-21,,,,
399,1,0,2000-02-21,,,,
400,1,0,2000-02-21,,,,
401,0,1,2000-02-21,,,,
402,0,1,2000-02-21,,,,
389,0,1,2000-02-21,,,,
373,0,1,2000-02-21,,,,
358,0,1,2000-02-21,,,,
371,1,0,2000-02-21,,,,
342,1,0,2000-02-21,,,,
343,0,1,2000-02-21,,,,
344,0,1,2000-02-21,,,,
345,0,1,2000-02-21,,,,
347,1,0,2000-02-21,,,,
348,1,0,2000-02-21,,,,
349,1,0,2000-02-21,,,,
350,0,1,2000-02-21,,,,
351,1,0,2000-02-21,,,,
352,0,1,2000-02-21,,,,
353,0,1,2000-02-21,,,,
354,0,1,2000-02-21,,,,
355,0,1,2000-02-21,,,,
356,1,0,2000-02-21,,,,
346,0,1,2000-02-21,,,,
372,0,1,2000-02-21,,,,
357,1,0,2000-02-21,,,,
370,0,1,2000-02-21,,,,
369,1,0,2000-02-21,,,,
367,0,1,2000-02-21,,,,
366,1,0,2000-02-21,,,,
365,0,1,2000-02-21,,,,
368,1,0,2000-02-21,,,,
363,0,1,2000-02-21,,,,
362,0,1,2000-02-21,,,,
361,0,1,2000-02-21,,,,
360,1,0,2000-02-21,,,,
359,0,1,2000-02-21,,,,
364,0,1,2000-02-21,,,,
468,0,1,2000-02-28,,,,
461,1,0,2000-02-28,,,,
467,0,1,2000-02-28,,,,
466,0,1,2000-02-28,,,,
465,0,1,2000-02-28,,,,
464,0,1,2000-02-28,,,,
463,0,1,2000-02-28,,,,
462,0,1,2000-02-28,,,,
460,1,0,2000-02-28,,,,
453,0,1,2000-02-28,,,,
458,0,1,2000-02-28,,,,
457,1,0,2000-02-28,,,,
456,1,0,2000-02-28,,,,
455,1,0,2000-02-28,,,,
454,0,1,2000-02-28,,,,
452,1,0,2000-02-28,,,,
451,0,1,2000-02-28,,,,
450,0,1,2000-02-28,,,,
469,1,0,2000-02-28,,,,
459,0,1,2000-02-28,,,,
470,1,0,2000-02-28,,,,
485,0,1,2000-02-28,,,,
472,1,0,2000-02-28,,,,
492,1,0,2000-02-28,,,,
491,1,0,2000-02-28,,,,
490,1,0,2000-02-28,,,,
489,0,1,2000-02-28,,,,
488,1,0,2000-02-28,,,,
487,1,0,2000-02-28,,,,
486,1,0,2000-02-28,,,,
449,1,0,2000-02-28,,,,
484,1,0,2000-02-28,,,,
471,1,0,2000-02-28,,,,
483,1,0,2000-02-28,,,,
481,1,0,2000-02-28,,,,
480,1,0,2000-02-28,,,,
479,1,0,2000-02-28,,,,
478,1,0,2000-02-28,,,,
477,0,1,2000-02-28,,,,
476,0,1,2000-02-28,,,,
475,0,1,2000-02-28,,,,
474,0,1,2000-02-28,,,,
473,0,1,2000-02-28,,,,
482,1,0,2000-02-28,,,,
448,0,1,2000-02-28,,,,
446,0,1,2000-02-28,,,,
411,0,1,2000-02-28,,,,
422,0,1,2000-02-28,,,,
421,1,0,2000-02-28,,,,
420,1,0,2000-02-28,,,,
419,0,1,2000-02-28,,,,
417,0,1,2000-02-28,,,,
416,1,0,2000-02-28,,,,
415,0,1,2000-02-28,,,,
414,0,1,2000-02-28,,,,
413,0,1,2000-02-28,,,,
412,0,1,2000-02-28,,,,
447,1,0,2000-02-28,,,,
410,1,0,2000-02-28,,,,
409,1,0,2000-02-28,,,,
408,1,0,2000-02-28,,,,
407,1,0,2000-02-28,,,,
406,0,1,2000-02-28,,,,
405,0,1,2000-02-28,,,,
404,1,0,2000-02-28,,,,
403,0,1,2000-02-28,,,,
423,1,0,2000-02-28,,,,
424,0,1,2000-02-28,,,,
418,1,0,2000-02-28,,,,
426,1,0,2000-02-28,,,,
445,1,0,2000-02-28,,,,
444,1,0,2000-02-28,,,,
443,1,0,2000-02-28,,,,
442,0,1,2000-02-28,,,,
425,1,0,2000-02-28,,,,
440,0,1,2000-02-28,,,,
439,0,1,2000-02-28,,,,
438,1,0,2000-02-28,,,,
437,1,0,2000-02-28,,,,
436,0,1,2000-02-28,,,,
441,0,1,2000-02-28,,,,
434,0,1,2000-02-28,,,,
433,0,1,2000-02-28,,,,
432,1,0,2000-02-28,,,,
431,1,0,2000-02-28,,,,
430,0,1,2000-02-28,,,,
429,0,1,2000-02-28,,,,
428,1,0,2000-02-28,,,,
427,0,1,2000-02-28,,,,
435,1,0,2000-02-28,,,,
533,0,1,2000-03-06,,,,
532,0,1,2000-03-06,,,,
531,0,1,2000-03-06,,,,
530,0,1,2000-03-06,,,,
529,0,1,2000-03-06,,,,
524,0,1,2000-03-06,,,,
527,0,1,2000-03-06,,,,
526,0,1,2000-03-06,,,,
525,0,1,2000-03-06,,,,
523,1,0,2000-03-06,,,,
534,0,1,2000-03-06,,,,
528,1,0,2000-03-06,,,,
535,1,0,2000-03-06,,,,
522,0,1,2000-03-06,,,,
537,0,1,2000-03-06,,,,
538,0,1,2000-03-06,,,,
539,1,0,2000-03-06,,,,
540,0,1,2000-03-06,,,,
541,1,0,2000-03-06,,,,
542,1,0,2000-03-06,,,,
543,0,1,2000-03-06,,,,
544,0,1,2000-03-06,,,,
549,0,1,2000-03-06,,,,
546,1,0,2000-03-06,,,,
547,1,0,2000-03-06,,,,
548,0,1,2000-03-06,,,,
536,1,0,2000-03-06,,,,
521,0,1,2000-03-06,,,,
545,1,0,2000-03-06,,,,
519,0,1,2000-03-06,,,,
520,0,1,2000-03-06,,,,
493,0,1,2000-03-06,,,,
494,1,0,2000-03-06,,,,
495,0,1,2000-03-06,,,,
496,1,0,2000-03-06,,,,
497,1,0,2000-03-06,,,,
498,1,0,2000-03-06,,,,
500,1,0,2000-03-06,,,,
501,1,0,2000-03-06,,,,
502,1,0,2000-03-06,,,,
503,0,1,2000-03-06,,,,
504,0,1,2000-03-06,,,,
505,1,0,2000-03-06,,,,
499,1,0,2000-03-06,,,,
507,1,0,2000-03-06,,,,
506,1,0,2000-03-06,,,,
518,0,1,2000-03-06,,,,
517,0,1,2000-03-06,,,,
516,1,0,2000-03-06,,,,
514,0,1,2000-03-06,,,,
513,1,0,2000-03-06,,,,
515,1,0,2000-03-06,,,,
511,0,1,2000-03-06,,,,
510,0,1,2000-03-06,,,,
509,0,1,2000-03-06,,,,
508,1,0,2000-03-06,,,,
512,1,0,2000-03-06,,,,
595,0,1,2000-03-13,,,,
591,1,0,2000-03-13,,,,
594,0,1,2000-03-13,,,,
593,1,0,2000-03-13,,,,
592,0,1,2000-03-13,,,,
590,1,0,2000-03-13,,,,
584,1,0,2000-03-13,,,,
588,0,1,2000-03-13,,,,
587,0,1,2000-03-13,,,,
586,0,1,2000-03-13,,,,
585,1,0,2000-03-13,,,,
596,1,0,2000-03-13,,,,
589,1,0,2000-03-13,,,,
597,0,1,2000-03-13,,,,
611,1,0,2000-03-13,,,,
599,0,1,2000-03-13,,,,
600,1,0,2000-03-13,,,,
601,1,0,2000-03-13,,,,
602,0,1,2000-03-13,,,,
603,0,1,2000-03-13,,,,
604,0,1,2000-03-13,,,,
605,0,1,2000-03-13,,,,
606,0,1,2000-03-13,,,,
607,0,1,2000-03-13,,,,
608,0,1,2000-03-13,,,,
609,1,0,2000-03-13,,,,
610,0,1,2000-03-13,,,,
583,0,1,2000-03-13,,,,
612,0,1,2000-03-13,,,,
598,0,1,2000-03-13,,,,
581,1,0,2000-03-13,,,,
582,0,1,2000-03-13,,,,
550,1,0,2000-03-13,,,,
580,1,0,2000-03-13,,,,
551,0,1,2000-03-13,,,,
552,1,0,2000-03-13,,,,
553,0,1,2000-03-13,,,,
554,0,1,2000-03-13,,,,
555,0,1,2000-03-13,,,,
556,1,0,2000-03-13,,,,
557,0,1,2000-03-13,,,,
559,1,0,2000-03-13,,,,
560,1,0,2000-03-13,,,,
561,1,0,2000-03-13,,,,
562,0,1,2000-03-13,,,,
563,0,1,2000-03-13,,,,
564,0,1,2000-03-13,,,,
558,1,0,2000-03-13,,,,
566,0,1,2000-03-13,,,,
565,1,0,2000-03-13,,,,
578,0,1,2000-03-13,,,,
577,1,0,2000-03-13,,,,
576,1,0,2000-03-13,,,,
575,0,1,2000-03-13,,,,
574,1,0,2000-03-13,,,,
573,1,0,2000-03-13,,,,
579,1,0,2000-03-13,,,,
571,1,0,2000-03-13,,,,
570,1,0,2000-03-13,,,,
569,0,1,2000-03-13,,,,
568,0,1,2000-03-13,,,,
567,0,1,2000-03-13,,,,
572,1,0,2000-03-13,,,,
658,0,1,2000-03-20,,,,
657,0,1,2000-03-20,,,,
656,1,0,2000-03-20,,,,
655,0,1,2000-03-20,,,,
654,0,1,2000-03-20,,,,
653,1,0,2000-03-20,,,,
649,0,1,2000-03-20,,,,
651,1,0,2000-03-20,,,,
650,0,1,2000-03-20,,,,
648,1,0,2000-03-20,,,,
647,0,1,2000-03-20,,,,
646,0,1,2000-03-20,,,,
652,0,1,2000-03-20,,,,
659,1,0,2000-03-20,,,,
645,0,1,2000-03-20,,,,
661,1,0,2000-03-20,,,,
662,0,1,2000-03-20,,,,
663,1,0,2000-03-20,,,,
664,0,1,2000-03-20,,,,
665,0,1,2000-03-20,,,,
666,0,1,2000-03-20,,,,
673,0,1,2000-03-20,,,,
667,1,0,2000-03-20,,,,
668,1,0,2000-03-20,,,,
669,0,1,2000-03-20,,,,
670,0,1,2000-03-20,,,,
671,0,1,2000-03-20,,,,
672,1,0,2000-03-20,,,,
660,0,1,2000-03-20,,,,
644,1,0,2000-03-20,,,,
619,1,0,2000-03-20,,,,
642,1,0,2000-03-20,,,,
643,1,0,2000-03-20,,,,
613,1,0,2000-03-20,,,,
614,0,1,2000-03-20,,,,
615,0,1,2000-03-20,,,,
617,1,0,2000-03-20,,,,
618,0,1,2000-03-20,,,,
620,1,0,2000-03-20,,,,
621,1,0,2000-03-20,,,,
622,0,1,2000-03-20,,,,
623,0,1,2000-03-20,,,,
624,0,1,2000-03-20,,,,
625,0,1,2000-03-20,,,,
626,1,0,2000-03-20,,,,
627,0,1,2000-03-20,,,,
616,0,1,2000-03-20,,,,
629,1,0,2000-03-20,,,,
641,1,0,2000-03-20,,,,
628,1,0,2000-03-20,,,,
640,1,0,2000-03-20,,,,
638,1,0,2000-03-20,,,,
637,1,0,2000-03-20,,,,
636,0,1,2000-03-20,,,,
639,0,1,2000-03-20,,,,
634,1,0,2000-03-20,,,,
633,1,0,2000-03-20,,,,
632,0,1,2000-03-20,,,,
631,1,0,2000-03-20,,,,
630,0,1,2000-03-20,,,,
635,1,0,2000-03-20,,,,
740,0,1,2000-04-10,,,,
733,0,1,2000-04-10,,,,
739,1,0,2000-04-10,,,,
738,0,1,2000-04-10,,,,
737,0,1,2000-04-10,,,,
736,1,0,2000-04-10,,,,
735,1,0,2000-04-10,,,,
734,1,0,2000-04-10,,,,
732,0,1,2000-04-10,,,,
726,1,0,2000-04-10,,,,
730,0,1,2000-04-10,,,,
729,0,1,2000-04-10,,,,
728,1,0,2000-04-10,,,,
727,1,0,2000-04-10,,,,
725,0,1,2000-04-10,,,,
723,1,0,2000-04-10,,,,
722,0,1,2000-04-10,,,,
721,0,1,2000-04-10,,,,
741,0,1,2000-04-10,,,,
731,1,0,2000-04-10,,,,
742,0,1,2000-04-10,,,,
757,1,0,2000-04-10,,,,
744,0,1,2000-04-10,,,,
720,1,0,2000-04-10,,,,
763,0,1,2000-04-10,,,,
762,1,0,2000-04-10,,,,
761,0,1,2000-04-10,,,,
760,0,1,2000-04-10,,,,
759,0,1,2000-04-10,,,,
758,1,0,2000-04-10,,,,
756,0,1,2000-04-10,,,,
755,1,0,2000-04-10,,,,
754,0,1,2000-04-10,,,,
753,1,0,2000-04-10,,,,
752,1,0,2000-04-10,,,,
751,1,0,2000-04-10,,,,
750,0,1,2000-04-10,,,,
749,0,1,2000-04-10,,,,
748,0,1,2000-04-10,,,,
747,0,1,2000-04-10,,,,
746,0,1,2000-04-10,,,,
745,0,1,2000-04-10,,,,
743,0,1,2000-04-10,,,,
719,1,0,2000-04-10,,,,
724,0,1,2000-04-10,,,,
717,0,1,2000-04-10,,,,
693,0,1,2000-04-10,,,,
692,0,1,2000-04-10,,,,
691,1,0,2000-04-10,,,,
690,0,1,2000-04-10,,,,
689,0,1,2000-04-10,,,,
688,1,0,2000-04-10,,,,
687,1,0,2000-04-10,,,,
686,0,1,2000-04-10,,,,
685,0,1,2000-04-10,,,,
684,0,1,2000-04-10,,,,
683,1,0,2000-04-10,,,,
682,0,1,2000-04-10,,,,
680,1,0,2000-04-10,,,,
679,0,1,2000-04-10,,,,
678,0,1,2000-04-10,,,,
677,0,1,2000-04-10,,,,
676,0,1,2000-04-10,,,,
675,1,0,2000-04-10,,,,
674,1,0,2000-04-10,,,,
694,1,0,2000-04-10,,,,
695,1,0,2000-04-10,,,,
681,0,1,2000-04-10,,,,
697,0,1,2000-04-10,,,,
696,0,1,2000-04-10,,,,
716,0,1,2000-04-10,,,,
715,0,1,2000-04-10,,,,
714,0,1,2000-04-10,,,,
713,1,0,2000-04-10,,,,
712,0,1,2000-04-10,,,,
711,1,0,2000-04-10,,,,
710,1,0,2000-04-10,,,,
709,0,1,2000-04-10,,,,
708,1,0,2000-04-10,,,,
718,0,1,2000-04-10,,,,
706,0,1,2000-04-10,,,,
705,1,0,2000-04-10,,,,
704,0,1,2000-04-10,,,,
703,0,1,2000-04-10,,,,
702,1,0,2000-04-10,,,,
701,1,0,2000-04-10,,,,
700,1,0,2000-04-10,,,,
699,0,1,2000-04-10,,,,
707,0,1,2000-04-10,,,,
698,1,0,2000-04-10,,,,
808,0,1,2000-04-17,,,,
807,0,1,2000-04-17,,,,
806,0,1,2000-04-17,,,,
805,0,1,2000-04-17,,,,
804,0,1,2000-04-17,,,,
803,1,0,2000-04-17,,,,
799,1,0,2000-04-17,,,,
801,1,0,2000-04-17,,,,
800,0,1,2000-04-17,,,,
798,0,1,2000-04-17,,,,
809,0,1,2000-04-17,,,,
797,0,1,2000-04-17,,,,
802,1,0,2000-04-17,,,,
810,1,0,2000-04-17,,,,
822,1,0,2000-04-17,,,,
812,1,0,2000-04-17,,,,
813,0,1,2000-04-17,,,,
814,0,1,2000-04-17,,,,
815,0,1,2000-04-17,,,,
816,0,1,2000-04-17,,,,
817,1,0,2000-04-17,,,,
818,0,1,2000-04-17,,,,
819,0,1,2000-04-17,,,,
820,1,0,2000-04-17,,,,
823,0,1,2000-04-17,,,,
824,0,1,2000-04-17,,,,
825,0,1,2000-04-17,,,,
796,1,0,2000-04-17,,,,
811,0,1,2000-04-17,,,,
795,1,0,2000-04-17,,,,
821,1,0,2000-04-17,,,,
793,0,1,2000-04-17,,,,
794,1,0,2000-04-17,,,,
764,1,0,2000-04-17,,,,
765,1,0,2000-04-17,,,,
767,0,1,2000-04-17,,,,
768,0,1,2000-04-17,,,,
769,0,1,2000-04-17,,,,
770,1,0,2000-04-17,,,,
771,0,1,2000-04-17,,,,
772,1,0,2000-04-17,,,,
773,1,0,2000-04-17,,,,
774,1,0,2000-04-17,,,,
775,1,0,2000-04-17,,,,
776,0,1,2000-04-17,,,,
777,1,0,2000-04-17,,,,
766,1,0,2000-04-17,,,,
779,0,1,2000-04-17,,,,
778,1,0,2000-04-17,,,,
791,1,0,2000-04-17,,,,
790,1,0,2000-04-17,,,,
789,0,1,2000-04-17,,,,
792,1,0,2000-04-17,,,,
787,1,0,2000-04-17,,,,
788,1,0,2000-04-17,,,,
785,1,0,2000-04-17,,,,
784,1,0,2000-04-17,,,,
